time,C2H4,CH3CH2OO
0.0,2248571859.200045,117283675815.00406
0.001,7275302722.317261,210291900670.6497
0.002,11974030522.332747,204125147930.80325
0.003,17113675113.755808,196995187622.6695
0.004,19469703563.281292,191319924825.29535
0.005,24130999127.69371,196276255833.6702
0.006,27354629755.21446,209101398908.5553
0.007,28452257617.62317,203419731687.83853
0.008,32997471073.890644,200167580829.6418
0.009000000000000001,38494740434.93893,161968877062.39685
0.01,39203599880.61628,177161881731.13452
0.011,46094694735.63736,173676417328.98218
0.012,44746861994.33365,166896644178.9208
0.013000000000000001,51667568582.92417,162037948192.3374
0.014,49647367901.36052,164173460586.94647
0.015,59375120161.95419,161020337636.92053
0.016,61240785673.83203,158723271027.95258
0.017,65586532590.91885,151794036958.43634
0.018000000000000002,65056792741.481926,162071059232.22934
0.019,72898472141.1231,160145341850.16223
0.02,78466168945.38487,137018038722.50792
0.021,68168506618.20812,148647544255.5687
0.022,72904413897.94041,155020454500.03598
0.023,77346344973.358,141690522831.60776
0.024,90336066414.63043,118093209424.12495
0.025,80842211070.72218,126626291872.99608
0.026000000000000002,88779443357.07538,132358774260.70242
0.027,88541113250.08482,113855996230.16112
0.028,96339939590.96437,129957448591.82278
0.029,89545811950.62538,138152322222.9349
0.03,99744459872.05249,118172130132.30963
