time,C2H4,CH3CH2OO
0.0,86869873106.00105,2040633765389.075
0.001,572768117512.6445,3546861657246.3105
0.002,1006823367943.1469,3275565142327.6953
0.003,1581099674002.2605,2785022051988.4966
0.004,1819657962976.0884,2304275597837.3174
0.005,1908095085589.6448,2037595691195.644
0.006,2449983413914.966,1939172865300.2546
0.007,3002704542952.4595,1763638208505.3547
0.008,3106296277428.7114,1492904019578.037
0.009000000000000001,3212926170584.6216,1279462906377.2712
0.01,3373350459529.763,1175569977752.772
0.011,3607619514629.213,919973389334.7983
0.012,3667905545144.0737,812831687880.9019
0.013000000000000001,3859523380300.566,727234799486.1783
0.014,3899069625104.3657,636439004435.4907
0.015,3675431446962.821,598151809667.171
0.016,3936838415569.961,452036914054.6546
0.017,3897029868540.534,401216421500.643
0.018000000000000002,3990520611273.8926,359973807926.57227
0.019,4089201002316.0537,312647438857.65533
0.02,4089437131161.1787,295542989330.30945
0.021,4279987215834.8584,241549624920.2573
0.022,4131549460561.2095,209524478667.211
0.023,4338408836596.0312,177481447430.8234
0.024,4006938259671.9375,149431409407.3146
0.025,4420042949145.171,125835880318.70673
0.026000000000000002,3831854807566.9546,117930516971.38666
0.027,4160433781255.0786,101899945019.32687
0.028,4420488241314.961,93642221657.64932
0.029,4174419472481.2407,82004039355.0395
0.03,4066177297980.691,65833491752.32446
